#TYPE Selected.System.Management.ManagementObject
"Command","User","UserSID","Location"
"C:\Program Files\Google\Drive File Stream\69.0.0.0\GoogleDriveFS.exe --startup_mode","NT AUTHORITY\SYSTEM","S-1-5-18","HKU\S-1-5-18\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"C:\Windows\SysWOW64\OneDriveSetup.exe /thfirstsetup","NT AUTHORITY\LOCAL SERVICE","S-1-5-19","HKU\S-1-5-19\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"C:\Program Files\Google\Drive File Stream\69.0.0.0\GoogleDriveFS.exe --startup_mode","NT AUTHORITY\LOCAL SERVICE","S-1-5-19","HKU\S-1-5-19\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"C:\Windows\SysWOW64\OneDriveSetup.exe /thfirstsetup","NT AUTHORITY\NETWORK SERVICE","S-1-5-20","HKU\S-1-5-20\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"C:\Program Files\Google\Drive File Stream\69.0.0.0\GoogleDriveFS.exe --startup_mode","NT AUTHORITY\NETWORK SERVICE","S-1-5-20","HKU\S-1-5-20\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"Send to OneNote.lnk","DESKTOP-25E5B7S\assessor","S-1-5-21-8404542-1260191286-688006340-1001","Startup"
"""C:\Program Files\Google\Drive File Stream\69.0.0.0\GoogleDriveFS.exe"" --startup_mode","DESKTOP-25E5B7S\assessor","S-1-5-21-8404542-1260191286-688006340-1001","HKU\S-1-5-21-8404542-1260191286-688006340-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"C:\Users\assessor\AppData\Roaming\Spotify\Spotify.exe --autostart --minimized","DESKTOP-25E5B7S\assessor","S-1-5-21-8404542-1260191286-688006340-1001","HKU\S-1-5-21-8404542-1260191286-688006340-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --win-session-start /prefetch:5","DESKTOP-25E5B7S\assessor","S-1-5-21-8404542-1260191286-688006340-1001","HKU\S-1-5-21-8404542-1260191286-688006340-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"C:\Program Files\Google\Drive File Stream\69.0.0.0\GoogleDriveFS.exe --startup_mode",".DEFAULT",,"HKU\.DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"%windir%\system32\SecurityHealthSystray.exe","Public",,"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"""C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_a6d4c2716e827f28\RtkAudUService64.exe"" -background","Public",,"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"""C:\Windows\System32\DriverStore\FileRepository\wavesapo10de.inf_amd64_f7373b847419c8d1\WavesSvc64.exe"" -Jack","Public",,"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
